Game,Min RTP %,Max RTP %
American Blackjack,97.68,99.60
Plinko,97.00,99.00
Epic Joker,97.00,97.00
Super Duper,97.00,97.00
Mines,97.00,97.00
Erik the Red,96.95,96.95
Zombie Circus,96.92,96.92
888 Dragons,96.84,96.84
Powerspin,96.84,96.84
Floating Dragon - Year of the Snake,96.71,96.71
Big Bass Splash,96.71,96.71
Hot to Burn,96.71,96.71
Floating Dragon,96.71,96.71
Floating Dragon New Year Festival Ultra Megaways Hold & Spin,96.70,96.70
Ultra Hold and Spin,96.70,96.70
Magic Money Maze,96.61,96.61
Holly Jolly Bonanza,96.60,96.60
Mining Rush,96.56,96.56
Madame Destiny Megaways,96.56,96.56
The Great Pigsby,96.55,96.55
Cosmic Cash,96.55,96.55
Power of Thor Megaways,96.55,96.55
Sweet Bonanza 1000,96.53,96.53
Big Juan,96.53,96.53
Money Stacks Megaways,96.52,96.52
Buffalo King Megaways,96.52,96.52
Triple Tigers,96.52,96.52
Money Stacks,96.51,96.55
Elemental Gems Megaways,96.51,96.51
Juicy Fruits,96.51,96.51
Candy Corner,96.50,96.50
Badge Blitz,96.50,96.50
Joker's Jewels,96.50,96.50
Gold Party,96.50,96.50
5 Lions Megaways,96.50,96.50
Joker's Jewel Dice,96.50,96.50
Gates of Olympus,96.50,96.50
Starlight Princess 1000,96.50,96.50
Chilli Heat,96.50,96.50
Day of Dead,96.50,96.50
Voodoo Magic,96.50,96.50
Heart of Rio,96.50,96.50
Curse of the Werewolf Megaways,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Sweet Bonanza Dice,96.49,96.60
Sweet Bonanza Xmas,96.48,96.48
Diamond Strike,96.48,96.48
Greedy Wolf,96.48,96.51
7 Clovers of Fortune,96.47,96.47
Space Miners,96.47,96.47
Fruit Party,96.47,96.47
Fire 88,96.46,96.46
Tree of Riches,96.45,96.45
Wild West Gold Megaways,96.44,96.44
Plunderland,96.43,97.14
Amazing Money Machine,96.42,96.42
Extra Juicy Megaways,96.42,96.42
Chip Spin,96.41,96.74
Cluster Tumble,96.40,96.40
Money Train 2,96.40,96.40
Wild Chapo,96.36,96.36
Le Bandit,96.34,96.34
Beast Mode,96.32,96.32
Slayers Inc,96.28,96.28
Santa's Stack,96.27,96.27
Rotten,96.27,96.27
Templar Tumble,96.26,96.26
Cash Crew,96.26,96.26
Royal Potato 2,96.26,96.26
Eye of the Panda,96.26,96.26
Snake Arena,96.25,96.25
King of Kings,96.25,96.25
Hand of Anubis,96.24,96.24
Barrel Bonanza,96.23,96.23
Volatile Vikings,96.23,96.23
Rip City,96.22,96.22
Money Train,96.20,96.20
Iron Bank,96.20,97.00
Mega Flip,96.20,96.20
La Fiesta,96.19,96.19
FireWins Factory,96.19,96.19
Mega Mine,96.15,97.00
Let's get ready to Rumble,96.14,96.14
Frequent Flyer,96.14,96.14
Banana Town,96.12,96.12
TNT Tumble,96.11,96.11
Book of Power,96.11,96.11
Quackin' Reels,96.10,96.10
Feather Fury ,96.10,96.10
Money Train 3,96.10,96.50
Burning Classics,96.10,96.10
Ancient Tumble,96.10,96.10
Joker Split,96.10,96.10
Sweetopia Royale,96.10,96.10
Epic Dreams,96.10,96.10
TNT Bonanza 2,96.10,96.10
Net Gains,96.10,96.10
Wild Chapo 2,96.10,96.10
Titan Strike,96.09,96.09
Sugar Supreme Powernudge,96.09,96.09
Wild Hike,96.09,96.09
Big Bass Xmas Xtreme,96.07,96.07
Big Bass - Hold & Spinner,96.07,96.07
Floating Dragon - Dragon Boat Festival,96.07,96.07
Buffalo King,96.06,96.06
Shark Wash,96.06,96.06
Good Luck & Good Fortune,96.05,96.05
Witchy Poppins,96.04,96.04
Big Bass Halloween,96.04,96.04
5 Wild Buffalo,96.01,96.01
Wolf Gold,96.01,96.01
Zeus vs Hades - Gods of War,96.01,96.01
Demon Pots,96.01,96.01
Fire Stampede,96.00,96.00
Gold Gold Gold,96.00,96.00
Cosmic Rush,96.00,96.00
Wild Wild Vegas,96.00,96.00
Vampy Party,96.00,96.00
Wisdom of Athena 1000,96.00,96.00
HiLo,96.00,98.00
Gold Gold Gold 5000,96.00,96.00
Money Sleigh,96.00,96.00
Fortune Llama,96.00,96.00
Pot of Fortune,96.00,96.00
Money Cart 4,96.00,96.00
Money Cart 3,96.00,96.00
Buffalo Hold and Win,95.91,95.91
Bang Bang Reloaded,95.80,95.80
Space Cows to the Moon,95.60,95.60
Chief Hawks Spirit Walk,95.60,95.60
Aztec Powernudge,95.56,95.56
Candy Bears,95.54,95.54
The Dog House Megaways,95.53,95.53
The Dog House,95.51,95.51
Diamond Hits,95.50,95.50
Buffalo Hold And Win Extreme,95.50,95.50
Mighty Gorilla,95.49,95.49
Beware The Deep Megaways,95.49,95.49
Flaming Chillies,95.48,95.48
Diamond Riches,95.47,95.47
The Wild Wings of Phoenix,95.40,95.40
Stampede Bonanza,95.30,95.30
Let it Spin,95.20,95.20
Treasure Vault,95.10,95.10
Santa's Great Gifts,95.04,96.25
Clover Fortunes,95.00,95.00
Volatile Vikings 2,94.80,94.80
Great Rhino Megaways,94.69,96.58
Little Gem Hold and Spin,94.62,94.62
Chests of Cai Shen,94.57,96.47
Wild Wildebeest Wins,94.56,94.56
Queenie,94.56,94.56
Gem Elevator,94.54,94.54
Wolf Gold Ultimate,94.53,94.53
Dynamite Diggin Doug,94.52,94.52
The Dog House - Dog or Alive,94.52,94.52
Clover Gold,94.51,94.51
Escape the Pyramid - Fire & Ice,94.50,94.50
Brick House Bonanza,94.50,94.50
Sugar Rush 1000,94.50,94.50
Aztec Smash,94.50,94.50
Gates of Olympus 1000,94.50,94.50
Big Bass Vegas Double Down Deluxe,94.50,96.50
Sugar Rush,94.50,94.50
Zombie Carnival,94.50,96.50
Fire Strike 2,94.50,94.50
Big Bass Bonanza,94.50,96.71
Towering Fortunes,94.50,94.50
The Ultimate 5,94.50,96.50
Gems Bonanza,94.50,96.55
Starlight Princess,94.50,96.50
Super Joker,94.50,94.50
Sugar Rush Xmas,94.50,94.50
Santa's Xmas Rush,94.48,96.51
The Dog House - Muttley Crew,94.47,94.47
Super X,94.46,96.56
Vampires vs Wolves,94.45,96.49
Cash Elevator,94.43,94.43
Shamrock Trio - Hold & Respin,94.41,94.41
Devilicious,94.41,94.41
Junkyard Kings,94.33,94.33
Shadow Strike,94.31,94.31
Desert Temple,94.31,94.31
Fireball Inferno,94.28,94.28
Pirate Bonanza,94.26,94.26
Old Gun,94.24,96.29
Super Twins,94.24,96.32
APED,94.23,94.23
Wicked Wins - Fortune Pick,94.17,94.17
Zeus's Thunder Bolt 5000,94.14,94.38
Mermaid's Mega Chest,94.13,94.13
Santa's Wild Reels,94.10,94.10
Wisdom of Athena,94.09,94.09
Rocket Blast Megaways,94.09,96.01
Muertos Multiplier Megaways,94.08,96.03
Fire Portals,94.08,94.08
Year Of The Dragon King,94.08,94.08
Power of Merlin Megaways,94.08,94.08
Big Bass - Secrets of the Golden Lake,94.07,96.07
Candy Jar Clusters,94.07,94.07
Pompeii Megareels Megaways,94.07,96.00
Big Bass Floats my Boat,94.06,94.06
The Dog House Multihold,94.06,94.06
Big Bass Day at the Races,94.05,96.07
Monster Superlanche,94.05,96.03
Caishen's Gold,94.05,94.05
Blade & Fangs,94.03,94.03
The Wild Gang,94.03,94.03
Wheel O'Gold,94.02,94.02
Lobster Bob's Sea Food and Win It,94.02,96.04
Infective Wild,94.02,94.02
Pirate's Awakening,94.01,94.01
5 Doggy Millionaires,94.00,94.00
9k Kong in Vegas,94.00,96.01
4 Fantastic Fish Gold,94.00,94.00
Piggy Millionaire,94.00,94.00
Gates of Olympus Xmas 1000,94.00,94.00
3 Dancing Monkeys,94.00,96.00
TwentyOne,94.00,94.00
Firebird Spirit - Connect & Collect,94.00,94.00
Viking Forge,94.00,96.05
Grim the Splitter,94.00,94.00
Castle of Fire,93.99,93.99
American Wonder Reels,93.97,93.97
Zeus's Thunder Bolt,93.96,94.49
Wild Wild Riches Megaways,93.93,93.93
Touchdown Treasures,93.88,93.88
Blazing Wilds Megaways,92.03,92.03
Money Train 4,90.00,96.10
Wild Yield,90.00,96.12
Wild Wild Riches,90.00,96.77
Sloth Tumble,90.00,96.11
Sweet Bonanza,89.00,89.00
Stormforged,88.46,88.46
Wanted Dead or a Wild,88.42,88.42
Commander of Tridents,88.39,88.39
Cursed Crypt,88.38,88.38
Duel at Dawn,88.37,96.30
Ze Zeus,88.36,88.36
Fireborn,88.30,88.30
Bouncy Bombs,88.30,96.22
Divine Drop,88.29,96.25
Chaos Crew 2,88.28,88.28
Le Viking,88.27,96.32
SixSixSix,88.27,96.15
Snow Slingers,88.27,88.27
Benny the Beer,88.26,96.17
Orb of Destiny,88.26,88.26
Get the CHEESE,88.25,96.31
2 Wild 2 Die,88.25,88.25
Beam Boys,88.25,88.25
Donut Division,88.24,96.30
Dork Unit,88.22,96.28
Wings of Horus,88.19,88.19
Xmas Drop,88.02,96.22
Legendary Diamonds,87.15,87.15
Giants & Sheep,86.00,96.50
Kraken's Cove,86.00,86.00
Immortal 5,86.00,86.00
Bill & Coin,86.00,96.50
Baccarat,85.64,98.94
Lucky Numbers x16,68.89,68.89
European Mega Boost Roulette,0.00,0.00
Diamonds,0.00,0.00
Blackjack+,0.00,0.00
Beellionaires,0.00,0.00
