Game,Min RTP %,Max RTP %
Halloween Fortune™,97.06,97.06
Joker's Luck Deluxe,97.00,97.00
Epic Joker,97.00,97.00
Epic Joker,97.00,97.00
Almighty Zeus Wilds VF,96.99,96.99
Almighty Zeus Wilds VF,96.99,96.99
Lucky Twins Wilds,96.94,96.94
Lucky Twins Wilds,96.94,96.94
Grand Express Action Class 94,96.94,96.94
Elephant Stampede,96.91,96.91
Elephant Stampede,96.91,96.91
Sun of Ra,96.90,96.90
Zeus Rush Fever,96.90,96.90
Rush Fever 7s,96.90,96.90
Sun of Ra,96.90,96.90
Feliz Dia de los Muertos,96.88,96.88
Grand Express Diamond Class 94,96.88,96.88
Vegas No Limit Wins,96.88,96.88
Immortal romance,96.86,96.86
Immortal romance,96.86,96.86
Diamond Explosion Crown Coins,96.82,96.82
Diamond Explosion 7s,96.82,96.82
Diamond Explosion Crown Coins,96.82,96.82
Diamond Explosion Sweet Love,96.82,96.82
Diamond Explosion 7s,96.82,96.82
Big Bass Bonanza Jackpot Play,96.71,96.71
Big Bass Bonanza Jackpot Play,96.71,96.71
Big Bass Splash,96.71,96.71
Hot to Burn,96.71,96.71
Big Bass Christmas Bash,96.71,96.71
Floating Dragon,96.71,96.71
Big Bass Splash,96.71,96.71
Christmas Big Bass Bonanza,96.71,96.71
Clovers of Luck 2,96.70,96.70
Floating Dragon New Year Festival,96.70,96.70
Clovers of Luck 2,96.70,96.70
ThunderStruck II,96.65,96.65
Holly Jolly Bonanza,96.60,96.60
Christmas Carol Megaways,96.58,96.58
Adventures Beyond Wonderland,96.58,96.58
Christmas Carol Megaways,96.58,96.58
Joker’s Jewels Wild,96.58,96.58
Roman Legend,96.57,96.57
Zeus Rush Fever Deluxe,96.56,96.56
Zeus Rush Fever Deluxe 94,96.56,96.56
Madame Destiny Megaways,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Mining Rush,96.56,96.56
Zeus Rush Fever Deluxe 94,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Peppe’s Pepperoni Pizza Plaza,96.55,96.55
The Dog House Megaways Jackpot Play,96.55,96.55
Power of Thor Megaways,96.55,96.55
