Game,Min RTP %,Max RTP %
Gravity Blackjack,99.51,99.51
Speed Blackjack,99.29,99.29
Grand Bonus Baccarat,98.76,98.94
Money Cart 2,98.00,98.00
Money Cart,98.00,98.00
Gravity Roulette,97.40,97.40
Lucky Lady's Clover,97.31,97.31
Auto Roulette,97.30,97.30
Live Roulette,97.30,98.65
Burning Chilli X,97.25,97.25
Merge Up,97.25,97.25
Gold Train,97.16,97.16
Fruit Million,97.10,97.10
Halloween Fortune,97.06,97.06
Haunted Reels,97.00,97.00
Book Of Panda,96.95,96.95
Tntina,96.92,96.92
Book of 8 Riches,96.90,96.90
Dragon's Gold 100,96.90,96.90
Forgotten,96.89,96.89
Grand Express Diamond Class,96.88,96.88
Silver & Gold Mine,96.88,96.88
Voodoo People,96.88,96.88
Wild West Trueways,96.84,96.84
Diamond Explosion 7s,96.82,96.82
Diamond Explosion Sweet Love,96.82,96.82
Elvis Frog Trueways,96.79,96.79
Disco Beats,96.74,96.74
Big Bass Splash Jackpot Play,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Hot to Burn,96.71,96.71
#Alice and the Mad Respin Party,96.70,96.70
Sweet Rush Megaways,96.69,96.69
Hit more Gold!,96.65,96.65
Fire Blaze: Adventure Trail,96.64,96.64
Holly Jolly Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Caishen Deluxe Maxways,96.59,96.59
Adventures Beyond Wonderland,96.58,96.82
Rush Fever 7s Deluxe,96.56,96.56
Gems Bonanza,96.55,96.55
Money Stacks,96.55,96.55
Clover Gold,96.54,96.54
Penguins Christmas Party Time,96.54,96.54
Big Juan,96.53,96.70
Hot Fiesta,96.53,96.56
Aztec Gems,96.52,96.52
Buffalo King Megaways,96.52,96.52
Extra Juicy,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Juicy Fruits,96.52,96.52
Emerald King,96.51,96.51
Gold West,96.51,96.51
The Dog House Jackpot Play,96.51,96.51
Aztec Gems Deluxe,96.50,96.50
Book of Flames Hold & Win,96.50,96.50
Dance Party,96.50,96.50
Fire Blaze: Blue Wizard,96.50,96.50
Fire Blaze: Pearls Pearls Pearls,96.50,96.50
Fire Blaze: Sky Queen,96.50,96.50
Fire Blaze: Tsai Shen's Gift,96.50,96.50
Fishin' Bear,96.50,96.50
Fruit Party,96.50,96.50
Gates of Olympus,96.50,96.50
Gates of Olympus Jackpot Play,96.50,96.50
Gold Party,96.50,96.50
Honey Honey Honey,96.50,96.50
Joker King,96.50,96.50
Jokers Jewels Jackpot Play,96.50,96.50
Pyramid King,96.50,96.50
Release the Kraken,96.50,96.50
Sugar Rush Xmas,96.50,96.50
Sugar Rush Jackpot Play,96.50,96.50
Voodoo Magic,96.50,96.50
Day of Dead,96.49,96.49
Dragon Ladies,96.49,96.49
Fire Blaze: Red Wizard™,96.49,96.49
Pirate's Booty,96.49,96.49
Viking Crusade,96.49,96.49
Wild LinX,96.49,96.49
Golden Forge,96.48,96.48
Quest of Gods,96.48,96.48
Starz Megaways,96.48,96.48
Sweet Bonanza Xmas,96.48,96.51
Tropical Pop Jackpot Play,96.48,96.48
Anaconda Wild 2™,96.47,96.47
Fruit Party Jackpot Play,96.47,96.47
JMania Golden Eggs,96.47,96.47
Mayan Cache,96.47,96.47
Space Miners,96.47,96.47
Wild Booster,96.47,96.47
Fire Blaze: Tundra Wolf,96.46,96.46
Fruits & Jokers: 100 lines,96.46,96.46
Leprechaun Song,96.46,96.46
Barn Festival,96.45,96.45
Quest West,96.45,96.45
Thunder of Olympus,96.45,96.45
Tree of Riches,96.45,96.45
Devilicious,96.43,96.52
Grand Express Fiesta,96.43,96.43
Better Wilds™,96.42,96.42
Kingdom of Atlantis Jackpot Play,96.41,96.41
Wild West Gold Megaways,96.41,96.45
Cluster Tumble,96.40,96.40
More Dragon Ladies,96.39,96.39
Snoop's High Rollers,96.39,96.39
Lucky Larry’s Lobstermania Slingo,96.38,96.38
Go High Gallina,96.37,96.37
Go High Panda,96.37,96.37
Lucky Lucifer,96.35,96.35
Diamond Explosion Patriots,96.33,96.33
Shining Hot 5 Jackpot Play,96.33,96.33
