Game,Min RTP %,Max RTP %
Double Up Machine,100.00,100.00
Money Cart,98.00,98.00
Money Cart 2,98.00,98.00
Secret Bar Multidice X,97.33,97.33
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Chip Runner,97.30,97.30
Burning Chilli X,97.25,97.25
Merge Up,97.25,97.25
Kraken's Hunger,97.20,97.20
Alien Fruits 2,97.17,97.17
Gemza,97.17,97.17
Gold Train,97.16,97.16
Royal Fruit Multilines,97.16,97.16
Book of Pyramids,97.13,97.13
Wild Tiger,97.11,97.11
Bobs Coffee Shop,97.10,97.10
Fruit Million,97.10,97.10
Brave Viking,97.09,97.09
Caishen's Gold,97.08,97.08
Halloween Fortune,97.06,97.06
Magical Lamp,97.01,97.01
9k Yeti,97.00,97.00
Haunted Reels,97.00,97.00
Hit The Route,97.00,97.00
Panda Luck,97.00,97.00
Snoop Dogg Dollars,97.00,97.00
Triple Panda,97.00,97.00
Cherry Fiesta,96.98,96.98
Aztec Magic,96.96,96.96
Aztec Magic Deluxe,96.96,96.96
Mummy's Gold,96.96,96.96
Book Of Panda,96.95,96.95
Book of Cats Megaways,96.95,96.95
West Town,96.95,96.95
Grand Express: Action Class,96.94,96.94
Magic Kitty,96.93,96.93
TNTina,96.92,96.92
Wild Heart,96.92,96.92
Adventures of Li'l Red,96.90,96.90
Book of 8 Riches,96.90,96.90
Dragon's Gold 100,96.90,96.90
Rush Fever 7s,96.90,96.90
Forgotten,96.89,96.89
Hammer of Thunder,96.89,96.89
Bull Fever,96.88,96.88
Feliz Dia de los Muertos,96.88,96.88
Grand Express: Diamond Class,96.88,96.88
Silver & Gold Mine,96.88,96.88
Voodoo People,96.88,96.88
Vegas No Limit Wins,96.88,96.88
Totem Warrior,96.84,96.84
Wild West Trueways,96.84,96.84
Beast Band,96.83,96.83
Diamond Explosion 7s,96.82,96.82
Diamond Explosion Sweet Love,96.82,96.82
Enter the Vault,96.82,96.82
Wizard's Spell,96.81,96.81
Book of Sun,96.80,96.80
Dragon Wish,96.80,96.80
Elvis Frog Trueways,96.79,96.79
Gemstone Rush,96.77,96.77
Lantern Luck,96.77,96.77
Disco Beats,96.74,96.74
Wild Flow,96.74,96.74
Big Bass Splash,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Christmas Big Bass Bonanza,96.71,96.71
Hey Sushi,96.71,96.71
Hot to Burn,96.71,96.71
Hot Hot Summer,96.71,96.71
Imperial Fruits: 5 lines,96.71,96.71
Wild Trucks,96.71,96.71
#Alice and the Mad Respin Party,96.70,96.70
Big Bass Bonanza Megaways,96.70,96.70
Floating Dragon Hold & Spin Megaways,96.70,96.70
Floating Dragon New Year Festival Ultra Megaways Hold & Spin,96.70,96.70
Galaxy Guardian,96.70,96.70
Ultra Hold and Spin,96.70,96.70
Book Of Kingdoms,96.69,96.69
Sweet Rush Megaways,96.69,96.69
Wild Diamond 7x,96.69,96.69
Return to the Feature,96.68,96.68
Gold Panther Maxways,96.67,96.67
Hit more Gold!,96.65,96.65
Mega 7,96.65,96.65
Fire Blaze: Adventure Trail,96.64,96.64
Laughing Buddha,96.64,96.64
Happy Holidays,96.62,96.62
Ultra Burn,96.62,96.62
Holly Jolly Bonanza,96.60,96.60
Spooktacular Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Caishen Deluxe Maxways,96.59,96.59
Adventures Beyond Wonderland,96.58,96.82
Joker's Jewels Wild,96.58,96.58
Hades Rivers of Souls,96.56,96.56
Madame Destiny Megaways,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Zeus Rush Fever Deluxe,96.56,96.56
Gems Bonanza,96.55,96.55
Money Stacks,96.55,96.55
Mystic Chief,96.55,96.55
Space Conquest,96.55,96.55
The Dog House Megaways,96.55,96.55
Clover Gold,96.54,96.54
Penguins Christmas Party Time,96.54,96.54
Big Juan,96.53,96.70
Fire Strike 2,96.53,96.53
Hot Fiesta,96.53,96.56
Leprechaun Carol,96.53,96.53
Monkey Madness,96.53,96.53
Mustang Gold,96.53,96.53
Prince of Riches,96.53,96.53
Sugar Rush 1000,96.53,97.50
Sweet Kingdom,96.53,96.53
Aztec Gems,96.52,96.52
Buffalo King Megaways,96.52,96.52
Extra Juicy,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Hot Chilli,96.52,96.52
Juicy Fruits,96.52,96.52
Treasure Horse,96.52,96.52
Triple Tigers,96.52,96.52
Emerald King,96.51,96.51
Elemental Gems Megaways,96.51,96.51
Gold West,96.51,96.51
John Hunter And The Mayan Gods,96.51,96.51
Jokers Treasure,96.51,96.51
Revenge of Loki Megaways,96.51,96.51
The Dog House Dice Show,96.51,96.51
3 Secret Cities,96.50,98.00
5 Frozen Charms Megaways,96.50,96.50
Aztec Gems Deluxe,96.50,96.50
Book of Flames Hold & Win,96.50,96.50
Cash Patrol,96.50,96.50
Chilli Heat,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Colossal Cash Zone,96.50,96.50
Dance Party,96.50,96.50
Double Flame,96.50,96.50
Egyptian Fortunes,96.50,96.50
Fire Blaze: Blue Wizard,96.50,96.50
Fire Blaze: Sky Queen,96.50,96.50
Fire Blaze: Pearls Pearls Pearls™,96.50,96.50
Fishin' Bear,96.50,96.50
Fire Strike,96.50,96.50
Fruit Party,96.50,96.50
Gates of Olympus,96.50,96.50
Gold Party,96.50,96.50
Honey Honey Honey,96.50,96.50
Hercules and Pegasus,96.50,96.50
Joker King,96.50,96.50
John Hunter and the Book of Tut,96.50,96.50
Joker's Jewel Dice,96.50,96.50
Joker's Jewels,96.50,96.50
Madame Destiny,96.50,96.50
Magician's Secrets,96.50,96.51
Mysterious,96.50,96.50
Pyramid King,96.50,96.50
Release the Kraken,96.50,96.50
Sugar Rush Xmas,96.50,96.50
Starlight Princess,96.50,96.50
Starlight Princess 1000,96.50,96.50
Super 7s,96.50,96.50
Voodoo Magic,96.50,96.50
Book of Riches Deluxe: Chapter 2,96.49,96.49
Candy Pop 2,96.49,96.49
Caveman Bob,96.49,96.49
Christmas Fortune,96.49,96.49
Day of Dead,96.49,96.49
Dragon Ladies,96.49,96.49
Fire Blaze: Red Wizard,96.49,96.49
Might of Ra,96.49,96.49
Pirate's Booty,96.49,96.49
Sweet Bonanza Dice,96.49,96.49
Viking Crusade,96.49,96.49
Wild LinX,96.49,96.49
Asgard,96.48,96.48
Diamond Strike,96.48,96.48
Golden Forge,96.48,96.48
Master Chen's Fortune,96.48,96.48
Quest of Gods,96.48,96.48
Shake Shake Christmas,96.48,96.48
Shake Shake Money Tree,96.48,96.48
Starz Megaways,96.48,96.48
Sweet Bonanza Xmas,96.48,96.51
