Game,Min RTP %,Max RTP %
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Burning Chilli X,97.25,97.25
MergeUp,97.25,97.25
Gemza,97.17,97.17
Book of Pyramids,97.13,97.13
Wild Tiger,97.11,97.11
Bob's Coffee Shop,97.10,97.10
Fruit Million,97.10,97.10
Brave Viking,97.09,97.09
Classic Fantastic,97.00,97.00
Hit The Route,97.00,97.00
Panda Luck,97.00,97.00
Triple Panda,97.00,97.00
Cherry Fiesta,96.98,96.98
Aztec Magic,96.96,96.96
Aztec Magic Deluxe,96.96,96.96
Mummy's Gold,96.96,96.96
Book of Cats Megaways,96.95,96.95
Book of Panda,96.95,96.95
West Town,96.95,96.95
Magic Kitty,96.93,96.93
Wild Heart,96.92,96.92
Dragon's Gold 100,96.90,96.90
Hammer of Thunder,96.89,96.89
Beast Band,96.83,96.83
Book of Sun,96.80,96.80
Dragon Wish,96.80,96.80
Elvis Frog Trueways,96.79,96.79
Gemstone Rush,96.77,96.77
Imperial Fruits: 5 lines,96.71,96.71
Galaxy Guardian,96.70,96.70
Sweet Rush Megaways,96.69,96.69
Wild Diamond 7x,96.69,96.69
Hit more Gold!,96.65,96.65
Mega 7,96.65,96.65
Laughing Buddha,96.64,96.64
Holly Jolly Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Space Conquest,96.55,96.55
Fiery Sevens Exclusive,96.52,96.52
Jokers Treasure,96.51,96.51
3 Secret Cities,96.50,98.00
Double Flame,96.50,96.50
Fishin' Bear,96.50,96.50
Candy Pop 2,96.49,96.49
Caveman Bob,96.49,96.49
Space Miners,96.47,96.47
Fruits & Jokers: 100 lines,96.46,96.46
Thunder of Olympus,96.45,96.45
Hex,96.43,96.43
Plunderland,96.43,97.14
Three Samurai,96.41,96.48
Cluster Tumble,96.40,96.40
Sugar Party,96.40,96.40
Crazy Bomber,96.36,96.36
Vegas Gold,96.36,96.36
Wild Chapo,96.36,97.00
Lucky Lucifer,96.35,96.35
Sevens&Fruits,96.31,96.31
Dead Man's Trail,96.29,98.00
Platinum Lightning Deluxe,96.29,96.29
Templar Tumble,96.26,96.26
Gangsterz,96.25,96.25
Pop Zen,96.25,96.25
Luck and Magic,96.23,95.99
777 Sizzling Wins: 5 Lines,96.21,96.21
Burning Wins: Classic 5 Lines,96.21,96.21
3 China Pots,96.20,96.20
Iron Bank,96.20,96.20
Neon Dreams,96.20,96.20
FireWins Factory,96.19,96.19
Fruit Smash,96.19,96.19
Mega Heist,96.19,96.50
Midnight Marauder,96.19,96.19
Coin Quest 2,96.18,96.18
StarSpell,96.17,96.17
Blender Blitz,96.16,96.16
Lucky Dama Muerta,96.16,96.16
Sands of Eternity,96.16,96.16
Mega Mine,96.15,97.00
Miss Cherry Fruits,96.13,96.13
Shark Frenzy,96.13,96.13
Banana Town,96.12,96.12
Book of Power,96.11,96.11
Chilli Bandits,96.11,96.11
TNT Tumble,96.11,96.11
Forty Fruity Million,96.10,96.10
Gem Rush,96.10,96.80
Hot Triple Sevens,96.10,96.10
Joker Split,96.10,96.10
Money Train 3,96.10,96.50
Ragnarok,96.10,96.12
Torii Tumble,96.10,96.50
Wild Chapo 2,96.10,96.50
Wildfire,96.10,96.10
Money Jar,96.09,96.09
Wild Hike,96.09,96.54
Budai Reels Bonus Buy,96.08,96.08
Pirate Multi Coins,96.08,96.08
Thunder Wheel,96.08,96.08
Gift Rush,96.07,96.07
Cycle of Luck Bonus Buy,96.07,96.07
Lightning Jungle Hold The Cash,96.07,96.07
Wolf Saga,96.06,96.06
Tyrants Fall,96.03,96.03
Triple Chili,96.02,96.02
Massive Luck Bonus Buy,96.02,96.02
Super Sticky Piggy,96.01,96.01
777 Coins,96.00,96.00
Alien Fruits,96.00,96.00
Aztec Magic Bonanza,96.00,96.00
Belfry Bliss,96.00,96.00
Bonanza Billion,96.00,96.00
Coin Forge,96.00,96.00
Dragon Pearls,96.00,96.00
Fruit Heaven Hold and Win,96.00,96.00
Gold Gold Gold,96.00,96.00
Hot Rod Racers,96.00,96.00
Hot Volcano Bonus Buy,96.00,96.00
Joker Queen,96.00,96.00
Lucky Farm Bonanza,96.00,96.00
Money Cart 3,96.00,96.00
Money Cart 4,96.00,96.00
