Game,Min RTP %,Max RTP %
Gravity Blackjack,99.51,99.51
Speed Blackjack,99.29,99.29
Grand Bonus Baccarat,98.76,98.94
Money Cart,98.00,98.00
Money Cart 2,98.00,98.00
Gravity Roulette,97.40,97.40
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Auto Roulette,97.30,97.30
Live Roulette,97.30,98.65
Burning Chilli X,97.25,97.25
Merge Up,97.25,97.25
Gold Train,97.16,97.16
Book of Pyramids,97.13,97.13
Fruit Million,97.10,97.10
Halloween Fortune,97.06,97.06
Hit The Route,97.00,97.00
Cherry Fiesta,96.98,96.98
Aztec Magic,96.96,96.96
Aztec Magic Deluxe,96.96,96.96
Book Of Panda,96.95,96.95
Book of Cats Megaways,96.95,96.95
Tntina,96.92,96.92
Adventures of Li'l Red,96.90,96.90
Feliz Dia de los Muertos,96.88,96.88
Grand Express: Diamond Class,96.88,96.88
Vegas No Limit Wins,96.88,96.88
Beast Band,96.83,96.83
Diamond Explosion 7s,96.82,96.82
Book of Sun,96.80,96.80
Elvis Frog Trueways,96.79,96.79
Gemstone Rush,96.77,96.77
Big Bass Splash Jackpot Play,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Imperial Fruits: 5 lines,96.71,96.71
Floating Dragon New Year Festival Ultra Megaways Hold & Spin,96.70,96.70
Ultra Hold and Spin,96.70,96.70
Book Of Kingdoms,96.69,96.69
Hit more Gold!,96.65,96.65
Mega 7,96.65,96.65
Fire Blaze: Adventure Trail,96.64,96.64
Laughing Buddha,96.64,96.64
Ultra Burn,96.62,96.62
Holly Jolly Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Adventures Beyond Wonderland,96.58,96.82
Madame Destiny Megaways,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Zeus Rush Fever Deluxe,96.56,96.56
Mystic Chief,96.55,96.55
The Dog House Megaways,96.55,96.55
Clover Gold,96.54,96.54
Penguins Christmas Party Time,96.54,96.54
Fire Strike 2,96.53,96.53
Hot Fiesta,96.53,96.56
Monkey Madness,96.53,96.53
Mustang Gold,96.53,96.53
Buffalo King Megaways,96.52,96.52
Extra Juicy,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Juicy Fruits,96.52,96.52
Triple Tigers,96.52,96.52
Emerald King,96.51,96.51
Gold West,96.51,96.51
The Dog House Jackpot Play,96.51,96.51
5 Frozen Charms Megaways,96.50,96.50
Aztec Gems Deluxe,96.50,96.50
Cash Patrol,96.50,96.50
Chilli Heat,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Double Flame,96.50,96.50
Fire Blaze: Blue Wizard,96.50,96.50
Fire Blaze: Pearls Pearls Pearls,96.50,96.50
Fire Blaze: Sky Queen,96.50,96.50
Fire Blaze: Tsai Shen's Gift,96.50,96.50
Fire Strike,96.50,96.50
Gates of Olympus,96.50,96.50
Gates of Olympus Jackpot Play,96.50,96.50
Gold Party,96.50,96.50
Hercules and Pegasus,96.50,96.50
John Hunter and the Book of Tut,96.50,96.50
Madame Destiny,96.50,96.50
Magician's Secrets,96.50,96.51
Mysterious,96.50,96.50
Pyramid King,96.50,96.50
Release the Kraken,96.50,96.50
Starlight Princess,96.50,96.50
Sugar Rush Jackpot Play,96.50,96.50
Sugar Rush Xmas,96.50,96.50
Voodoo Magic,96.50,96.50
Super 7s ,96.50,96.50
Book of Riches Deluxe: Chapter 2,96.49,96.49
Caveman Bob,96.49,96.49
Christmas Fortune,96.49,96.49
Day of Dead,96.49,96.49
Fire Blaze: Red Wizard™,96.49,96.49
Might of Ra,96.49,96.49
Wild LinX,96.49,96.49
Diamond Strike,96.48,96.48
Master Chen's Fortune,96.48,96.48
Quest of Gods,96.48,96.48
Shake Shake Christmas,96.48,96.48
Starz Megaways,96.48,96.48
Wild Pixies,96.48,96.48
Anaconda Wild 2™,96.47,96.47
Fruit Party Jackpot Play,96.47,96.47
Jade Butterfly,96.47,96.47
Jewel Rush,96.47,96.47
Madame Luck,96.47,96.47
Royal Griffin,96.47,96.47
Fire Blaze: Tundra Wolf,96.46,96.46
Fruits & Jokers: 100 lines,96.46,96.46
