Game,Min RTP %,Max RTP %
Money Cart,98.00,98.00
Money Cart 2,98.00,98.00
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Burning Chilli X,97.25,97.25
Merge Up,97.25,97.25
Kraken's Hunger,97.20,97.20
Scratch Dice,97.20,97.20
Football Scratch,97.19,97.25
Scratch Match,97.19,97.25
Gemza,97.17,97.17
Gold Train,97.16,97.16
Halloween Fortune,97.06,97.06
Capymania Green,97.00,97.00
Capymania Yellow,97.00,97.00
Capymania Orange,97.00,97.00
Aztec Magic,96.96,96.96
Book Of Panda,96.95,96.95
Book of Cats Megaways,96.95,96.95
Tntina,96.92,96.92
Book of 8 Riches,96.90,96.90
Dragon's Gold 100,96.90,96.90
Rush Fever 7s,96.90,96.90
Voodoo People,96.88,96.88
Totem Warrior,96.84,96.84
Diamond Explosion 7s,96.82,96.82
Diamond Explosion Sweet Love,96.82,96.82
Book of Sun,96.80,96.80
Dragon Wish,96.80,96.80
Elvis Frog Trueways,96.79,96.79
Gemstone Rush,96.77,96.77
Wild Flow,96.74,96.74
Big Bass Splash Jackpot Play,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Hey Sushi,96.71,96.71
Hot Hot Summer,96.71,96.71
Hot to Burn,96.71,96.71
Imperial Fruits: 5 lines,96.71,96.71
#Alice and the Mad Respin Party,96.70,96.70
Big Bass Bonanza Megaways,96.70,96.70
Floating Dragon Hold & Spin Megaways,96.70,96.70
Floating Dragon New Year Festival Ultra Megaways Hold & Spin,96.70,96.70
Sweet Rush Megaways,96.69,96.69
Wild Diamond 7x,96.69,96.69
Return To The Feature,96.68,96.68
Gold Panther Maxway,96.67,96.67
Hit more Gold!,96.65,96.65
Mega 7,96.65,96.65
Fire Blaze: Adventure Trail,96.64,96.64
Laughing Buddha,96.64,96.64
Holly Jolly Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Caishen Deluxe Maxways,96.59,96.59
Madame Destiny Megaways,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Money Stacks,96.55,96.55
The Dog House Megaways,96.55,96.55
Penguins Christmas Party Time,96.54,96.54
Fruit Rainbow,96.53,96.53
Mustang Gold,96.53,96.53
Sugar Rush 1000,96.53,97.50
Sweet Kingdom,96.53,96.53
Aztec Gems,96.52,96.52
Buffalo King Megaways,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Elemental Gems Megaways,96.51,96.51
Emerald King,96.51,96.51
Jokers Treasure,96.51,96.51
Revenge of Loki Megaways,96.51,96.51
The Dog House Dice Show,96.51,96.51
The Dog House Jackpot Play,96.51,96.51
3 Secret Cities,96.50,98.00
5 Frozen Charms Megaways,96.50,96.50
Aztec Gems Deluxe,96.50,96.50
Book of Flames Hold & Win,96.50,96.50
Chilli Heat,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Double Flame,96.50,96.50
Fire Blaze: Blue Wizard,96.50,96.50
Fire Blaze: Pearls Pearls Pearls,96.50,96.50
Fire Blaze: Sky Queen,96.50,96.50
Fire Blaze: Tsai Shen's Gift,96.50,96.50
Fishin' Bear,96.50,96.50
Fruit Party,96.50,96.50
Gates of Olympus Jackpot Play,96.50,96.50
Gold Party,96.50,96.50
Joker's Jewel Dice,96.50,96.50
Pyramid King,96.50,96.50
Monkey Warrior,96.50,96.50
Starlight Princess 1000,96.50,96.50
Sugar Rush Jackpot Play,96.50,96.50
Sugar Rush Xmas,96.50,96.50
Super 7s,96.50,96.50
Voodoo Magic,96.50,96.50
Candy Pop 2,96.49,96.49
Caveman Bob,96.49,96.49
Fire Blaze: Red Wizard™,96.49,96.49
Sweet Bonanza Dice,96.49,96.49
Asgard,96.48,96.48
Shake Shake Money Tree,96.48,96.48
Starz Megaways,96.48,96.48
Sweet Bonanza Xmas,96.48,96.51
Tropical Pop Jackpot Play,96.48,96.48
Anaconda Wild 2™,96.47,96.47
Christmas Carol Megaways,96.47,96.58
Fruit Party Jackpot Play,96.47,96.47
JMania Golden Eggs,96.47,96.47
Jade Butterfly,96.47,96.47
Jewel Rush,96.47,96.47
Space Miners,96.47,96.47
Fire Blaze: Tundra Wolf,96.46,96.46
Fruits & Jokers: 100 lines,96.46,96.46
Volcano Rising,96.46,96.46
Heroes' Gathering,96.45,96.45
Thunder of Olympus,96.45,96.45
Tree of Riches,96.45,96.45
Devilicious,96.43,96.52
Grand Express Fiesta,96.43,96.43
Hex,96.43,96.43
Plunderland,96.43,97.14
#Alice in the Wild,96.42,96.42
Amazing Money Machine,96.42,96.42
Extra Juicy Megaways,96.42,96.48
Kingdom of Atlantis Jackpot Play,96.41,96.41
Stampede Rush Speedy Santa,96.41,96.41
Wild West Gold Megaways,96.41,96.45
Blazing Tiger,96.40,96.40
Cluster Tumble,96.40,96.40
Sugar Party,96.40,96.40
Dr. Frankenstein,96.39,96.39
More Dragon Ladies,96.39,96.39
Mucho Loco Habanero,96.39,96.39
Lucky Larry’s Lobstermania Slingo,96.38,96.38
Go High Gallina,96.37,96.37
Go High Panda,96.37,96.37
Wild Chapo,96.36,97.00
Shining Hot 5 Jackpot Play,96.33,96.33
Gummy Giga Match,96.32,96.32
Blazing Wins: 5 lines,96.31,96.31
Go High Olympus,96.31,96.31
J Mania Turkey Chef,96.31,96.31
Fishing Mania,96.30,96.30
Prospector Wilds Gold Digga,96.30,96.30
Mad Hit Bearhaus,96.30,96.30
Dead Man's Trail,96.29,98.00
Ten Ton Ways Goldfish,96.29,96.29
Immortal Ways Champions,96.28,96.28
Immortal Ways Lady Moon,96.28,96.28
Immortal Ways Sweet Coin,96.28,96.28
Mad Hit Oasis,96.27,96.27
Templar Tumble,96.26,96.26
Wild Thirst,96.26,96.26
Forge of Olympus,96.25,96.25
Pop Zen,96.25,96.25
Destino Das Almas,96.24,96.24
Medallion,96.23,96.23
Shadow Summoner Egypt,96.23,96.23
3 China Pots,96.20,96.20
Hellfire Joker,96.20,96.20
Iron Bank,96.20,96.20
Trout's Treasure - Carribean Catch,96.20,96.20
Trout's Treasure - Wild Rivers,96.20,96.20
FireWins Factory,96.19,96.19
Fruit Smash,96.19,96.19
Mega Heist,96.19,96.50
Midnight Marauder,96.19,96.19
Treasure Snipes,96.18,96.18
StarSpell,96.17,96.17
Beanstalk grows Wild,96.16,96.16
Blender Blitz,96.16,96.16
Bounty Showdown,96.16,96.16
Vulcan's Gold,96.16,96.16
Mega Mine,96.15,97.00
Dragon Age Hold & Win,96.14,96.14
Esqueleto Explosivo 2- Reborn,96.13,96.13
Banana Town,96.12,96.12
Green Hat Magic,96.12,96.12
Book of Power,96.11,96.11
Chilli Bandits,96.11,96.11
Juicy Gems,96.11,96.11
TNT Tumble,96.11,96.11
Bone Raiders,96.10,96.50
Coins of Thor - Hold & Win,96.10,96.10
Gem Rush,96.10,96.80
Gold Magnate,96.10,96.10
Howling For Gold,96.10,96.10
Joker Split,96.10,96.10
Money Train 3,96.10,96.50
Quackin' Reels,96.10,96.10
Ragnarok,96.10,96.12
The Tumbles,96.10,96.10
Torii Tumble,96.10,96.50
Train to Rio Grande,96.10,96.10
Wild Chapo 2,96.10,96.50
Wins Of Nautilus Megaways,96.10,96.10
Pink Elephant,96.10,96.10
Honey Hunters,96.09,96.61
Money Jar,96.09,96.09
The Greatest Catch,96.09,96.09
Wild Hike,96.09,96.54
Club Tropicana,96.08,96.08
Dreadworks,96.08,96.08
Emperor's Rise,96.08,96.08
Pirate Multi Coins,96.08,96.08
Roman Rule,96.08,96.08
Solar Nova Megaways,96.08,96.08
Thunder Wheel,96.08,96.08
Xmas Spark,96.08,96.08
Big Bass Day at the Races,96.07,96.07
Big Bass Halloween,96.06,96.06
Wolf Saga,96.06,96.06
Gods of Rock!,96.05,96.05
Lucy Luck and the Temple of Mysteries,96.05,96.38
Lucky Card,96.05,96.05
Old West,96.05,96.05
African Elephant,96.04,96.04
Lobster Bob’s Sea Food and Win It,96.04,96.04
Slingo Fire and Ice,96.04,96.04
Mega Greatest Catch,96.03,96.03
Jurassic Giants,96.03,96.03
Tyrant's Fall,96.03,96.03
Inner Fire,96.01,96.01
Wolf Gold,96.01,96.01
Wolf Gold 1 Million,96.01,96.01
21 Thor Lightning Ways,96.00,96.00
3 Dancing Monkeys,96.00,96.00
Aztec Magic Bonanza,96.00,96.00
Beellionaires,96.00,96.00
Candy Dreams Sweet Planet,96.00,96.08
Carnival Bonanza,96.00,96.00
Chicago,96.00,96.00
Coin Forge,96.00,96.00
Fortuna Gold,96.00,96.00
Fruit Heaven Hold and Win,96.00,96.00
Gold Fever,96.00,96.00
Hot Rod Racers,96.00,96.00
Howling Wolves Megaways,96.00,96.00
Joker Queen,96.00,96.00
Lucky New Year,96.00,96.00
Massive Luck,96.00,96.00
Mega Diamonds Hunt,96.00,96.00
Money Cart 3,96.00,96.00
Money Cart 4,96.00,96.00
Money Mouse,96.00,96.00
Ocean Catch,96.00,96.00
Sizzling Sevens,96.00,96.00
Wolf Power Megaways,96.00,96.00
Young Wolf Song,96.00,96.00
7 Piggies,95.99,95.99
Wushu Punch,95.99,95.99
Penny Pelican,95.98,95.98
Poseidon,95.98,95.98
Fury of Odin Megaways,95.97,96.02
Buffalo Blitz™,95.96,95.96
Epic Ape,95.96,95.96
Giza Nights: Hold & Win,95.96,95.96
Mega Fire Blaze: Wild Pistolero,95.96,95.96
Thunder Mega Sevens,95.96,95.96
Wonder Farm,95.95,95.95
Pink Joker: Hold and Win,95.87,95.87
Legend of Cleopatra Megaways,95.84,95.84
3 Coins: Egypt,95.82,95.82
3 Pots of Egypt,95.82,95.82
Aztec Pyramid,95.82,95.82
Power of Thor Megaways,95.81,95.81
Spin & Score Megaways,95.81,96.97
Eggs of Gold,95.80,95.80
Money Jar 2,95.80,95.80
Lotus Charm: Hold & Win,95.78,95.78
Magic Apple,95.78,95.78
Supercharged Clovers: Hold and Win,95.78,95.78
Tiger Stone,95.78,95.78
Queen of the Sun: Hold & Win,95.77,95.77
3 Carts of Gold: Hold and Win,95.76,95.76
3 Magic Lamps: Hold and Win,95.76,95.76
Empire Gold: Hold and Win,95.76,95.76
Coin UP: Hot Fire,95.75,95.75
Energy Coins: Hold and Win,95.74,95.74
Lucky Emeralds,95.74,95.74
Luxor Gold: Hold & Win,95.74,95.76
Merry Giftmas: Hold and Win,95.74,95.74
Slingo Deadliest Catch,95.74,95.74
Sunny Fruits 2: Hold and Win,95.74,95.74
Boogie Boom,95.70,95.80
Space Sam Walk and Win,95.70,95.70
Wukong,95.70,95.70
Little Farm,95.69,95.69
Rio Gems,95.69,95.69
Wolf Night,95.69,95.69
Arriba Heat Megaways,95.68,95.68
Coin UP: Lightning,95.67,95.67
Clover Charm: Hit the Bonus,95.66,95.66
Coin Strike: Hold & Win,95.66,95.66
Jingle Coins: Hold and Win,95.66,95.66
Pirate Chest: Hold & Win,95.66,95.66
Xtra Hot,95.66,95.66
Pearl Diver 2: Treasure Chest,95.65,95.65
Fire Coins: Hold and Win,95.64,95.64
Royal Coins 2: Hold and Win,95.64,95.64
Royal Coins: Hold & Win,95.64,95.64
Sun of Egypt 2,95.64,95.64
Hot To Burn Extreme,95.63,96.65
Golden Teapot,95.62,95.62
Royal Joker: Hold and Win,95.62,95.62
Yo-Ho Gold!,95.62,95.62
Boom! Boom! Gold!,95.61,95.61
Dragon Wealth,95.61,95.61
Arizona Heist: Hold and Win,95.60,95.60
Chief Hawk's Spirit Walk,95.60,95.60
Diamond Fortunator: Hold and Win,95.60,95.60
Jam Bonanza,95.60,95.60
Lamp Of Wonder,95.60,95.60
Space Cows To The Moo'n,95.60,95.60
3 Hot Chillies,95.59,95.59
Gold Nuggets,95.58,95.58
Magic Ball Multichance,95.58,95.58
Fate of The Gods,95.56,95.56
Mustang Gold Megaways,95.56,95.56
Lion Gems: Hold & Win,95.55,95.55
Aztec Fire 2,95.54,95.54
Black Wolf,95.54,95.54
Black Wolf 2,95.54,95.54
Caishen Wealth,95.53,95.53
Candy Blitz Bombs,95.53,96.54
Magic Apple 2,95.53,95.53
Diamond Wins: Hold and Win,95.52,95.52
5 Lions,95.51,95.51
Fortune of Giza,95.51,96.51
Slingo Berserk,95.51,95.51
Super Joker,95.51,95.51
Aztec Fire,95.50,95.50
Buffalo Hold and Win Extreme,95.50,95.50
Crystal Land 2,95.50,95.50
Diamond Hits,95.50,95.50
Drago - Jewels of Fortune,95.50,96.50
Egypt Fire,95.50,95.50
Gold Hit: Dragon Bonanza,95.50,95.50
Lucy Luck and the Crimson Diamond,95.50,95.50
Maya Sun,95.50,95.50
Mysteries of Egypt,95.50,95.50
Piggy Bank Run - Shriek Streak,95.50,95.50
Super Rich God,95.50,95.50
The Magic Cauldron,95.50,96.44
Ultimate Hold 'N' Win,95.50,95.50
Lightning Clovers - Hit the Bonus,95.49,95.49
Empty the Bank,95.48,96.48
Great Rhino,95.48,95.48
Amazonia Spirit Hold and Win,95.47,95.47
Sun of Egypt 4 Hold & Win,95.47,95.47
Sweet Bonanza,95.45,96.51
Red Hot Slingo,95.44,96.33
Mega Fire Blaze: Big Circus!,95.42,96.37
The Chillies,95.40,95.40
The Wild Wings of Phoenix,95.40,95.40
Western Wilds Hold & Win,95.27,95.27
God Of Wealth: Hold And Win,95.24,95.24
Golden Scrolls,95.20,95.20
Great Panda,95.20,95.20
Let It Spin,95.20,95.20
Sweet Candy Cash,95.18,95.18
Blood Moon Hold & Win,95.17,95.17
Eagle Strike Lucky Cache Hold and Win,95.16,95.16
Book of Ra Deluxe Play Feature,95.10,95.10
Mammoth Peak: Hold and Win,95.10,95.10
Tiger's Gold,95.10,95.10
Gears of Horus,95.09,96.06
Year Of The Dragon King,95.08,95.08
Buffalo Power Christmas,95.04,95.04
Buffalo Power Hold & Win,95.04,95.04
Mammoth Gold Megaways,95.04,96.03
Santa's Great Gifts,95.04,95.04
Wisdom of Athena 1000,95.03,96.00
Deep Descent,95.00,95.00
King of Cards,95.00,95.00
Moleionaire,95.00,95.00
Olympian Gods,95.00,95.00
Scarab Temple,95.00,95.00
Slingo XXXtreme,95.00,95.00
Sun of Egypt,95.00,95.00
Catch the Gold Hold and Win,94.98,94.98
Monster Disco XtraHold,94.97,94.97
Dragon Hero,94.94,94.94
Aloha King Elvis!,94.92,94.92
Temple Tumble 2,94.80,94.80
Volatile Vikings 2,94.80,94.80
Slingo Day of the Dab,94.73,94.73
Great Rhino Megaways,94.69,94.69
Dragon Hot Hold & Spin,94.65,96.70
