Game,Min RTP %,Max RTP %
Double Up Machine,100.00,100.00
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Chip Runner,97.30,97.30
Burning Chilli X,97.25,97.25
Kraken's Hunger,97.20,97.20
Gemza,97.17,97.17
Book of Pyramids,97.13,97.13
Wild Tiger,97.11,97.11
Fruit Million,97.10,97.10
Brave Viking,97.09,97.09
Caishen's Gold,97.08,97.08
Halloween Fortune,97.06,97.06
Classic Fantastic,97.00,97.00
Hit The Route,97.00,97.00
Panda Luck,97.00,97.00
Triple Panda,97.00,97.00
Cherry Fiesta,96.98,96.98
Aztec Magic,96.96,96.96
Aztec Magic Deluxe,96.96,96.96
Book of Cats Megaways,96.95,96.95
West Town,96.95,96.95
Magic Kitty,96.93,96.93
Tntina,96.92,96.92
Wild Heart,96.92,96.92
Adventures of Li'l Red,96.90,96.90
Book of 8 Riches,96.90,96.90
Dragon's Gold 100,96.90,96.90
Rush Fever 7s,96.90,96.90
Hammer of Thunder,96.89,96.89
Bull Fever,96.88,96.88
Feliz Dia de los Muertos,96.88,96.88
Silver & Gold Mine,96.88,96.88
Wild West Trueways,96.84,96.84
Beast Band,96.83,96.83
Enter the Vault,96.82,96.82
Wizard's Spell,96.81,96.81
Book of Sun,96.80,96.80
Dragon Wish,96.80,96.80
Elvis Frog Trueways,96.79,96.79
Gemstone Rush,96.77,96.77
Lantern Luck,96.77,96.77
Disco Beats,96.74,96.74
Big Bass Splash,96.71,96.71
Big Bass Splash Jackpot Play,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Christmas Big Bass Bonanza,96.71,96.71
Hey Sushi,96.71,96.71
Imperial Fruits: 5 lines,96.71,96.71
Wild Trucks,96.71,96.71
#Alice and the Mad Respin Party,96.70,96.70
Big Bass Bonanza Megaways,96.70,96.70
Floating Dragon Hold & Spin Megaways,96.70,96.70
Floating Dragon New Year Festival Ultra Megaways Hold & Spin,96.70,96.70
Galaxy Guardian,96.70,96.70
Book Of Kingdoms,96.69,96.69
Sweet Rush Megaways,96.69,96.69
Wild Diamond 7x,96.69,96.69
Gold Panther Maxway,96.67,96.67
Hit more Gold!,96.65,96.65
Mega 7,96.65,96.65
Fire Blaze: Adventure Trail,96.64,96.64
Laughing Buddha,96.64,96.64
Holly Jolly Bonanza,96.60,96.60
TNT Bonanza,96.60,96.60
Caishen Deluxe Maxways,96.59,96.59
Joker's Jewels Wild,96.58,96.58
Madame Destiny Megaways,96.56,96.56
Money Stacks,96.55,96.55
Space Conquest,96.55,96.55
The Dog House Megaways,96.55,96.55
Clover Gold,96.54,96.54
Penguins Christmas Party Time,96.54,96.54
Big Juan,96.53,96.70
Fire Strike 2,96.53,96.53
Hot Fiesta,96.53,96.56
Leprechaun Carol,96.53,96.53
Prince of Riches,96.53,96.53
Sugar Rush 1000,96.53,97.50
Sweet Kingdom,96.53,96.53
Aztec Gems,96.52,96.52
Buffalo King Megaways,96.52,96.52
Fiery Sevens Exclusive,96.52,96.52
Hot Chilli,96.52,96.52
Hockey League Wild Match,96.52,96.52
Treasure Horse,96.52,96.52
Elemental Gems Megaways,96.51,96.51
Emerald King,96.51,96.51
Jokers Treasure,96.51,96.51
Revenge of Loki Megaways,96.51,96.51
The Dog House Dice Show,96.51,96.51
The Dog House Jackpot Play,96.51,96.51
5 Frozen Charms Megaways,96.50,96.50
Chilli Heat,96.50,96.50
Chilli Heat Megaways,96.50,96.50
Double Flame,96.50,96.50
Egyptian Fortunes,96.50,96.50
Fire Blaze: Blue Wizard,96.50,96.50
Fire Blaze: Pearls Pearls Pearls,96.50,96.50
Fire Blaze: Sky Queen,96.50,96.50
Fire Blaze: Tsai Shen's Gift,96.50,96.50
Fishin' Bear,96.50,96.50
Fruit Party,96.50,96.50
Gates of Olympus,96.50,96.50
Gates of Olympus Jackpot Play,96.50,96.50
Gold Party,96.50,96.50
Hercules and Pegasus,96.50,96.50
Book of Tut Jackpot Play,96.50,96.50
John Hunter and the Book of Tut,96.50,96.50
Joker's Jewels,96.50,96.50
Madame Destiny,96.50,96.50
Magician's Secrets,96.50,96.51
Mysterious,96.50,96.50
Hockey League,96.50,96.50
Pyramid King,96.50,96.50
Release the Kraken,96.50,96.50
Starlight Princess,96.50,96.50
Starlight Princess 1000,96.50,96.50
Sugar Rush Jackpot Play,96.50,96.50
Joker's Jewels Jackpot Play,96.50,96.50
Book of Riches Deluxe: Chapter 2,96.49,96.49
Candy Pop 2,96.49,96.49
Dragon Ladies,96.49,96.49
Fire Blaze: Red Wizard™,96.49,96.49
Might of Ra,96.49,96.49
Pirate's Booty,96.49,96.49
Kluster Krystals Megaclusters,96.49,96.49
Viking Crusade,96.49,96.49
Wild LinX,96.49,96.49
Diamond Strike,96.48,96.48
Golden Forge,96.48,96.48
Master Chen's Fortune,96.48,96.48
Quest of Gods,96.48,96.48
Starz Megaways,96.48,96.48
Sweet Bonanza Xmas,96.48,96.51
Anaconda Wild 2™,96.47,96.47
Christmas Carol Megaways,96.47,96.58
Fruit Party Jackpot Play,96.47,96.47
Jade Butterfly,96.47,96.47
Jewel Rush,96.47,96.47
Madame Luck,96.47,96.47
Royal Griffin,96.47,96.47
Reel All-Stars,96.47,96.47
Fire Blaze: Tundra Wolf,96.46,96.46
Fruits & Jokers: 100 lines,96.46,96.46
Leprechaun Song,96.46,96.46
Barn Festival,96.45,96.45
Quest West,96.45,96.45
Thunder of Olympus,96.45,96.45
Tree of Riches,96.45,96.45
Egyptian Sun,96.44,96.44
Devilicious,96.43,96.52
Grand Express Fiesta,96.43,96.43
ZapOtec Gold,96.43,96.43
#Alice in the Wild,96.42,96.42
Better Wilds™,96.42,96.42
Extra Juicy Megaways,96.42,96.48
Kingdom of Atlantis Jackpot Play,96.41,96.41
Three Samurai,96.41,96.48
Wild West Gold Megaways,96.41,96.45
Blazing Tiger,96.40,96.40
Gems of Serengeti,96.40,96.40
Sugar Party,96.40,96.40
Dr. Frankenstein,96.39,96.39
More Dragon Ladies,96.39,96.39
Mucho Loco Habanero,96.39,96.39
Lucky Larry’s Lobstermania Slingo,96.38,96.38
8 Dragons,96.37,96.37
Go High Gallina,96.37,96.37
Native Spirit,96.37,96.37
Crazy Bomber,96.36,96.36
Queen of Gods,96.36,96.38
Vegas Gold,96.36,96.36
Lucky Lucifer,96.35,96.35
Magic Crystals,96.35,96.35
Arabian Secret,96.34,96.34
Soccermania,96.34,96.34
Shining Hot 5 Jackpot Play,96.33,96.33
Blazing Wins: 5 lines,96.31,96.31
Go High Olympus,96.31,96.31
J Mania Turkey Chef,96.31,96.31
J Mania Diamonds,96.31,96.31
Sevens&Fruits,96.31,96.31
Fishing Mania,96.30,96.30
Dead Man's Trail,96.29,98.00
Platinum Lightning Deluxe,96.29,96.29
Ten Ton Ways Goldfish,96.29,96.29
Immortal Ways Champions,96.28,96.28
Immortal Ways Lady Moon,96.28,96.28
Mad Hit Hidden Cities,96.27,96.27
Wild Thirst,96.26,96.26
Forge of Olympus,96.25,96.25
Gangsterz,96.25,96.25
Destino Das Almas,96.24,96.24
Medallion,96.23,96.23
