Game,Min RTP %,Max RTP %
Double Up Machine,100.00,100.00
Plinko XY,98.91,98.91
Grand Bonus Baccarat,98.76,98.94
Mine Gems,98.40,98.40
Money Cart,98.00,98.00
Money Cart 2,98.00,98.00
Live Blackjack,98.00,99.55
Texas Holdem Poker,97.82,99.47
Gravity Roulette,97.40,97.40
Secret Bar Multidice X,97.33,97.33
Lucky Lady's Clover,97.31,97.31
777 Gems Respin,97.30,97.30
Auto Roulette,97.30,97.30
Chip Runner,97.30,97.30
Live Roulette,97.30,98.65
Burning Chilli X,97.25,97.25
Merge Up,97.25,97.25
Kraken's Hunger,97.20,97.20
Football Scratch,97.19,97.25
Scratch Match,97.19,97.25
Alien Fruits 2,97.17,97.17
Gemza Xmas Edition,97.17,97.17
Royal Fruit Multilines,97.16,97.16
Fishing Club,97.16,97.16
Gold Train,97.16,97.16
Book Of Pyramids,97.13,97.13
Wild Tiger,97.11,97.11
Fruit Million,97.10,97.10
Bob's Coffee Shop,97.10,97.10
Brave Viking,97.09,97.09
Caishen's Gold,97.08,97.08
Fortuna Trueways,97.07,97.07
Magical Lamp,97.01,97.01
Epic Joker,97.00,97.00
Super Duper,97.00,97.00
Haunted Reels,97.00,97.00
Classic Fantastic,97.00,97.00
Chicken Rush,97.00,97.00
Hit the Route,97.00,97.00
Triple Panda,97.00,97.00
Dragon's Crash,97.00,97.00
Street Power,97.00,97.00
Snoop Dogg Dollars,97.00,97.00
Panda Luck,97.00,97.00
Cherry Fiesta,96.98,96.98
Aztec Magic,96.96,96.96
Aztec Magic Deluxe,96.96,96.96
Dragons Awakening,96.96,96.96
Mummy's Gold,96.96,96.96
West Town,96.95,96.95
Book Of Cats Megaways,96.95,96.95
Erik the Red,96.95,96.96
Book of Panda Megaways,96.95,96.95
Grand Express Action Class,96.94,96.94
Wild Heart,96.92,96.92
Zombie Circus,96.92,96.92
Elephant Stampede,96.91,96.91
Dawn of the Incas,96.90,96.90
Dragons Gold 100,96.90,96.90
Adventures of Li’l Red,96.90,96.90
Book of 8 Riches,96.90,96.90
Rush Fever 7s,96.90,96.90
Zeus Rush Fever,96.90,96.90
Sun of Ra,96.90,96.90
Hammer Of Thunder,96.89,96.89
Forgotten,96.89,96.89
Silver \u0026 Gold Mine,96.88,96.88
Bull Fever,96.88,96.88
Feliz Día de los Muertos,96.88,96.88
Vegas No Limit Wins,96.88,96.88
Grand Express Diamond Class,96.88,96.88
Voodoo People,96.88,96.88
Clash of the Giants,96.85,96.85
Happy Neko,96.85,96.85
Powerspin,96.84,96.84
Beast Band,96.83,96.83
Enter the Vault,96.82,96.82
Diamond Spree Explosion,96.82,96.82
Diamond Explosion 7s,96.82,96.82
Diamond Explosion Sweet Love,96.82,96.82
Wizard’s Spell,96.81,96.81
Book of Sun,96.80,96.80
Elvis Frog True ways,96.79,96.79
Vampire's Fate,96.79,96.79
Lantern Luck,96.77,96.77
Moji Mania,96.75,96.75
It's Time,96.74,96.74
Wild Flow,96.74,96.74
Disco Beats,96.74,96.74
Candy Tower,96.73,96.73
Christmas Big Bass Bonanza,96.71,96.71
Eye of the Storm,96.71,96.71
Lucky, Grace \u0026 Charm,96.71,96.71
Imperial Fruits: 5 lines,96.71,96.71
Bigger Bass Bonanza,96.71,96.71
Hot Hot Summer,96.71,96.71
Wild Trucks,96.71,96.71
Hey Sushi,96.71,96.71
Hot to Burn,96.71,96.71
Big Bass Splash,96.71,96.71
Slingo Superspin,96.71,96.71
Big Bass Bonanza Megaways,96.70,96.70
Ultra Hold and Spin,96.70,96.70
Colossal Gems,96.70,96.80
Alice and the Mad Respin Party,96.70,96.70
Slot Machine Christmas,96.70,96.95
Galaxy Guardian,96.70,96.70
Marvelous Furlongs,96.70,96.83
Book Of Kingdoms,96.69,96.69
Sweet Rush Megaways,96.69,96.69
Wild Diamond 7x,96.69,96.69
Return to the Feature,96.68,96.68
Pixie Wings,96.67,96.67
Gold Panther Maxways,96.67,96.67
Happy Ape,96.66,96.66
Hit More Gold,96.65,96.65
Mega 7,96.65,96.65
Laughing Buddha,96.64,96.64
Ultra Burn,96.62,96.62
TNT Bonanza,96.60,96.60
Star Bounty,96.60,96.60
Spooktacular Bonanza,96.60,96.60
Emerald's Infinity Reels,96.60,96.60
Holly Jolly Bonanza,96.60,96.60
Joker's Jewels Wild,96.58,96.58
Roman Legend,96.57,96.57
Rockin’ Gorilla,96.57,96.57
Zeus Rush Fever Deluxe,96.56,96.56
Rush Fever 7s Deluxe,96.56,96.56
Madame Destiny Megaways,96.56,96.56
Hades River of Souls,96.56,96.56
Money Stacks,96.55,96.55
Gems Bonanza,96.55,96.55
Mystic Chief,96.55,96.55
The Dog House Megaways,96.55,96.55
The Great Pigsby,96.55,96.55
Magic Journey,96.54,96.54
Clover Gold,96.54,96.54
Big Juan,96.53,96.70
Aztec Bonanza,96.53,96.53
Hot Fiesta,96.53,96.56
Mustang Gold,96.53,96.53
Monkey Madness,96.53,96.53
Prince of Riches,96.53,96.53
Sugar Rush 1000,96.53,97.50
Fire Strike 2,96.53,96.53
Fruit Rainbow,96.53,96.53
