Game,Min RTP %,Max RTP %
Double Up Machine,100.00,100.00
Royal Fruits 40,97.71,97.71
Gypsy Rose,97.63,97.63
Sugar Pop,97.60,97.60
Safari Sam,97.50,97.50
Fruit Zen,97.30,97.30
After Night Falls,97.27,97.27
Lucky 8 Merge Up,97.25,97.25
Merge Up,97.25,97.25
Dice Million,97.23,97.23
Brothers Kingdom,97.20,97.20
Dim Sum Prize,97.18,97.18
Gemza,97.17,97.17
Alien Fruits 2,97.17,97.17
Tramp Day,97.17,97.17
Fishinâ€™ Club,97.16,97.16
Mayan Gems,97.15,97.15
Rise Of Werewolves,97.12,97.12
Wild Chicago,97.10,97.10
Fruit Million,97.10,97.10
Back to Venus,97.07,97.07
Mr.Macau,97.07,97.07
Monster Pop,97.07,97.07
Jungle Stripes,97.03,97.03
Magical Lamp,97.01,97.01
DIAMOND OF JUNGLE,97.01,97.01
Snoop Dogg Dollars,97.00,97.00
Chicken Rush,97.00,97.00
Hit the Route,97.00,97.00
Lucky Dragon MultiDice X,97.00,97.00
Panda Luck,97.00,97.00
OOF The Goldmine planet,97.00,97.00
Lady Wolf Moon,97.00,97.00
Book of Cats Megaways,96.95,96.95
Book of Panda MEGAWAYSâ„¢,96.95,96.95
Magic Kitty,96.93,96.93
Wild Heart,96.92,96.92
7th Heaven,96.92,96.92
Dragon's Gold 100,96.90,96.90
Mighty Horse,96.90,96.90
Hammer of Thunder,96.89,96.89
Savage Buffalo Spirit Megaways,96.87,97.25
Lady Wolf Moon Megaways,96.84,96.84
Volcano Fruits,96.84,96.84
Beast Band,96.83,96.83
Dragon Wish,96.80,96.80
Elvis Frog TRUEWAYS,96.79,96.79
Gemstone Rush,96.77,96.77
Diamond Shot Blitz,96.77,96.77
Moji Mania,96.75,96.75
Galaxy Guardian,96.70,96.70
Aztec Magic Megaways,96.69,96.69
Sweet Rush MEGAWAYS,96.69,96.69
Gold Panther Maxways,96.67,96.67
Reel Rider Rapid Link,96.66,96.66
Mega 7,96.65,96.65
Loteria el Barril,96.65,96.65
Savanna Squad,96.63,96.63
Treasures of Cleopatra,96.62,96.66
Spooktacular Bonanza,96.60,96.60
Bamboo Wilds,96.60,96.60
Farmland Frenzy Maxways,96.60,96.60
Thunder Strike,96.60,96.60
